pid,asr_text,asr_language,asr_char_count
POST00003480,"Chances are you've probably already seen these two devices because you're looking for poreless glass skin Okay, so which one should you get if you have big pores the air shot is your friend the air shot uses electrical micro needles to create safe small holes on your skin just like micro-vitaling but without any pain or downtime But small pores and glowy skin go hand-in-hand so when you use these two together your skin will look so freaking good Watch how I do it taking the Medi-Kyp collagen jelly cream This is an all-new product formulated with freeze-dried collagen that's meant to provide long lasting hydration",en,620
POST00000014,"We have achieved the all over glass base. I've been trying to achieve for such a long time. Those of you who know me know that it is my goal in life to achieve this level of do. So when I saw this, I sprinted and picked this up. It does have both chemical and enzyme exfoliants that should improve texture and tone. First, I'm just going to cleanse my skin here. Alright, let's try this again. It's like an apple, jelly, lemon jelly consistency. współps",en,453
POST00001861,"Me? Obsessed with you? Yes, yes I am bitch.",en,43
POST00003570,"Hi, bluebnets ! Je suis premier chef de l'année Bidou, ni film d'heterre. Ou alors je suis un vide en filage, dis-le, je raccoffais. Senna Kevin de Bidou de Foundation. Senna Kevin de Bidou est un mail de fond d'hôtel yummy. C'est bien que tu dirais ta carrière, ben yummy.",fr,273
POST00000779,,en,0
POST00003722,"If you use a cleanser, you'll clean your skin to prevent blemishes. If you use a face mask, you'll clean out your pores. If you use a cleanser and a face mask, you'll clean your skin and clear out your pores. If you use an exfoliant, you'll clear higher pigmentation. If you use a cleanser, a face mask and an exfoliant, you'll clean your skin, clear out your pores and prevent high pigmentation. If you use a toner, you'll improve your skin's radiance. If you use a cleanser, a face mask and exfoliant and a toner, you'll clean your skin, clear out your pores, clear your pigmentation, and in purpose against radiance.",en,619
POST00002934,Tinini ni ni ni ni Agui! Agui Agui Agui Agui ang dami na man Ito Matto Magui Agui Agui Agui Dayadi tis ang labas Just colored Tutong ay ang sinasamin lah Kung walang Magdibigay sa yung bikin mo ang sarili mo Because I'm not liquid I'm not solid,tl,244
POST00003007,"A lovely customer mentioned that I charged double the price compared to other big international websites. I think it's important to shed some light on the situation. Most of the large websites are established in South Korea itself. They have direct partnerships with the skincare brands and can acquire products at a lower cost. So they offer competitive prices. But I am just a small business based here in Morocco. I would love to offer the same prices, but I face a",en,468
POST00002743,"things that you really don't need to buy if you're a beginner nail tech. Nomoro uno, you really don't need to have two lights in the beginning. Have one really, really good light, but save up for two later. You don't need them in the beginning. Number two, you don't need colored acrylics. Say it with me, you don't need them. Save your money by a really good cover acrylic color, which is Valentino Beauty Pier.",en,412
POST00003072,"You stand for your home, when your wish is broken, when it's lit from the end. When you know, time goes so good, you'll fall in the back.",en,137
POST00003211,You,en,3
POST00002289,一边追溯换印的那个羡慕师兄 追溯换印 猜啊因为周边的话我们电的侧是做的是比较好的,zh,40
POST00002896,ぼり周りを動く小さじ1,nn,11
POST00001204,1.5% 1.5% 1.5% 1.5% 1.5% 1.5%,nn,29
POST00001007,4-5 min 2 oppo 1 og 1 kale,nn,26
POST00003737,"you What are you doing? You're just scrolling. You're supposed to be sleeping. What's going on? You can't sleep. Oh wait, I'm the one that's supposed to help with that, right? Okay Um, okay Oh, I think I know. Just relax.",en,221
POST00001899,통uluminental observationsநéc podía segim,nn,40
POST00001712,,nn,0
POST00000838,Um,en,2
POST00002972,1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5%,nn,69
POST00000777,Watch me do it quickly!,en,23
POST00003577,"I'ma walkin' through the drum all these comments get me paid I don't turn the words I chusses, I don't take me on my way I should runny over vices any moment of the day Carn the words I'll be right back where I started I can't turn nobody man, they wonder why I'm got it They ain't get me at it all",en,298
POST00003094,Why my bad picture? I'm afraid that I'm a motherfucker Haust me looking okay? She's not here She's fucking with me Is this bitch okay? If she's not here I'm fucking around I'm looking I'm like okay I used to be down red But never bitch okay I'm afraid it And I'm a motherfucker Haust me looking okay She think that she's crooked With me is this bitch okay You think it's fucking around I'm looking I'm like okay I used to be down red But never bitch okay Tells how bad bitch is be so rich Kami J.C. APA,en,502
