pid,uid,vid,popularity,duration,fps,width,height,aspect_ratio,total_frames,file_size_bytes,file_exists,asr_text,asr_language,asr_char_count,ocr_text,ocr_raw_text_count,blip_caption_0,blip_caption_1,blip_caption_2,blip_caption_3,blip_caption_4,blip_caption_5,blip_caption_6,blip_caption_7,has_asr,has_ocr,has_audio
POST00003512,USER00004774,VIDEO00004562,10.14,18.0,30.0,480,856,0.5607476635514018,540,1713913,True,"I'm moving my arms so you are so my end I'm moving my arms so you that I am I'm on top of a wall I'm a budget, it's not break, Simon",en,132,woodwork | woodworkingforbeginners | woodworkingplan | woodwork forall | woodworkingskills,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00000548,USER00002917,VIDEO00001378,9.7,13.466666666666669,30.0,576,1024,0.5625,404,6515020,True,Der,en,3,"""That bird should be set | free"" | Ok | Next up in training, how | not to be a cling-on.",88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00001619,USER00004568,VIDEO00002524,1.75,27.88888888888889,45.0,576,1024,0.5625,1255,4510181,True,"And it's gone, it's gone, it's gone You can't run, no, run, no, run, no, run Just who do you think you're gonna be? It's so rough, it's so rough, it's so rough It's too rough, it's too rough, it's too rough It's so rough, it's too rough, it's too rough Oh baby, hold on, don't shoot me, don't ever hear It's more than like a dancer",en,331,TiKTOK | @mixupcups | HS | TikTok | @mixupcups | FRESH | JUICE | MINI-FAST-PORTADLE | 350ml | TikTok | @mixupcups,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002366,USER00004636,VIDEO00003331,7.96,45.333333333333336,29.669117647058822,576,1016,0.5669291338582677,1345,13575690,True,"Who can pour them, who can chanting his love in the Garden of God. Who think of you they're האCra Similarly against the Other Image",la,131,DARK SOULSII | XBOXONE | DARK SOULSI | COLLECTORSEDITIOA | SOULSHI | DARKSOULSI,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00000002,USER00002168,VIDEO00000788,4.2,52.36666666666667,30.0,576,1024,0.5625,1571,10959294,True,"Hey guys, Rally here. Okay, so today we're in Cupertino and we're going to one of Ryan's most desired places. It's been on his wish list for literally years and we finally made our way around the snack of the woods. Baby, where are we? We are at Ipendo. This place is a ramen shop. They're locations all around the world but they have a, you know, we're going to this location with some friends and I got the classic ramen and then Ali got the, what do you get? I opted for the veggie. I tried something different.",en,514,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
POST00002335,USER00003429,VIDEO00003295,8.62,15.066666666666666,30.0,576,1024,0.5625,452,3428001,True,I,en,1,AR | JO | HE,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002187,USER00004231,VIDEO00003128,5.64,8.6,30.0,576,1024,0.5625,258,110764,True,I'm gonna be your new band But I already know what I get I know I only wanna come over put it on them I got that one on that night He drinks it,en,143,VANILLA | 10 | vanilla girl | TREEHUT | SIYO | sugatlips | vanilla girl | NATIVE,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00003212,USER00002932,VIDEO00004245,12.44,28.916666666666668,60.0,576,1024,0.5625,1735,10204610,True,"Guess I should take it as a side I don't feel lonely I want you to put a little bit behind me I'm crying in my room So scared that the music's But still I want it more, more, more I give a second chance I can't bear But I'm definitely still there Out of way makes me feel the love I'm living with",en,296,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
POST00002167,USER00001589,VIDEO00003106,9.72,201.76666666666668,30.0,576,1024,0.5625,6053,26764995,True,"This is the easiest home decor DIY you'll ever do. And trust me, you're gonna wanna save this for later. An ad popped up on my Instagram with two pieces of wallert that I instantly fell in love with. I searched for a month and couldn't find them anywhere, and when I saw what TechShortArt was selling for, I was like, no, I can recreate this. I am not paying that price. So that's what we're gonna do right now. For this DIY, I grabbed two large frames from Ankea for $30 each and some craft wrapping paper from the dollar store for $2.50. We're gonna start by laying these out and getting rid of all this plastic. I actually decided to keep a little bit of plastic on the front end so that my floor wouldn't scratch the frame.",en,727,EASY DIYWALLART | HOMEDECOR ONA | BUDGET | thiswasactuallythehardest | part of this entire DIY for me | so you can watch me | you do let me know in the | comments,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00001092,USER00003366,VIDEO00001958,7.2,9.233333333333333,30.0,576,1024,0.5625,277,251209,True,"But if you close, you eat mocha lo, Dallet, g-mocha lo, Dallet, g-mocha lo, Dallet, g-mocha lo, Dallet, g-mocha lo,",en,115,"IOUDWIRE | LISTENNOW | LOUDWIRENIGHTS | JOLE | VGHI | Gentiem | FearlessRecords | EVERYMEMBEROF | BLESSTHEFALL REMOVE | BAND NAME FROM SO | MEDIA PROFILES | jwrath | 28.1K | 1,975 | 829 | Posts | Followers | Following | JaredWarth | HIGH WIND | CLIMBER | NASMCPT | NERD | www.twitch.tv/jwrath_/ | Followedbybeaubok | and6others | beaubokan | 2,575 | 186K | 1,020 | Posts | Followers | Following | Video creator | my clothe s @goldenheartsltd | my me dia @goldenheartsmedia | my gear@truetemperhockey | Followedbyelliottshrer | and23others | ericthefall | 205 | 43.4K | 460 | Followers | Posts | Following | EricLambert | RealEstate | ArizonaIREALTOR | Residential,Commercial,Investment. | ericlambertrealestate.com | Followedbybeaubo | and16others",747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002274,USER00004072,VIDEO00003225,8.15,21.74131519882081,29.851,480,600,0.8,649,1708375,True,,en,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
POST00001464,USER00002589,VIDEO00002356,6.85,23.03333333333333,30.0,480,848,0.5660377358490566,691,4218457,True,والله شكلح باتك لأ البيلكيчي غروب باتك أرا يقدمي إدًمال لا أ Assistance for you but you lived with me في أبدا يخت患 لدذي تقابقه,ar,126,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
POST00000666,USER00003324,VIDEO00001501,9.38,19.966666666666665,30.0,576,1024,0.5625,599,3815435,True,A lonely room to play around I loved you since we were 18 Long before we both thought the same thing To be loved and to be loved,en,128,I have loved you since we were 18 | Longbefore we boththoughtthe same thing,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002430,USER00004737,VIDEO00003399,2.31,9.966666666666669,30.0,576,1024,0.5625,299,720978,True,"5, 4, 3, 2, 1, GO!",en,18,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
POST00003345,USER00004901,VIDEO00004385,11.43,17.6,30.0,576,1024,0.5625,528,6118329,True,"Oh, you never let the same man do You know why I keep being a good boy You never let the same man do You never let the same man do",en,130,They don't want us to find | Electro Culture... | 1weeklaterwefound | insane results | Learn more on | our website,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002261,USER00003764,VIDEO00003211,7.07,9.833333333333334,60.0,576,1024,0.5625,590,546788,True,And feelings shone in me in and no you you you,en,46,"Before: ""Omg 2025 is so | Far away | GreetingsFrom | 2025 | Now: 2 more years... | Before: ""Omg 2025 is so | Far away"" | Greetings From | 2025 | Now: 2 more years... | Before: ""Omg 2025 is so | Far'away"" | Greetings From | 2025 | Now: 2 more years... | Before: ""Omg 2025 is so | Faraway"" | GreetingsFrom | 2025 | Now: 2 more years...",333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002000,USER00000747,VIDEO00002926,5.54,8.533333333333333,30.0,576,1024,0.5625,256,957346,True,"Stay with me, uh, don't you do this",en,35,02 33 | 12 34 | COCO | CHANEL | 68 .21,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00000415,USER00003125,VIDEO00001235,10.84,7.433333333333334,30.0,576,1024,0.5625,223,1298840,True,,nn,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
POST00002314,USER00003103,VIDEO00003271,8.2,36.43333333333333,30.0,576,1024,0.5625,1093,5769175,True,"Top 5 sources of protein. Number one, non-faculty yogurt because it's over a satietyle instead of sour cream. Put this on a big potato or turn it into dessert with sugar-free pudding mix. Next is tuna because 100 calories will net you 22 grams of protein. And you don't even have four gum mercury. Yes, I will link that video. Number three, Edamame pasta, each serving has 24 grams of protein and 13 grams of fiber from pasta. Come on. Number four, I'm just going to say any lean meat, so chicken breast, turkey, lean cuts of steak. It doesn't matter, pick your favorite. And lastly, I want to pick something on",en,611,Replytocurlimimi'scomment | DOPROTEINPWEASE | protein | Top | sources | Tuna | AMUTTHO | AHUTTHOJ | AWUTTHBIJ | MU8 | CHNMK | Tie | AMUT THEL | Lean meats | glqmi2 | Ienoitinu,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002979,USER00001216,VIDEO00003991,4.09,172.6,30.0,576,1024,0.5625,5178,37726677,True,"If you're on the lookout for a hair product that does not cause you any health problems and specifically if you have really really sensitive skin or scalp and it causes you to have flare ups or maybe you have Xima, perhaps you're just very very sensitive. You have very sensitive skin and I am laughing because technically everybody should be taking these precautions whether you have sensitive skin or not. Because even if your skin is not flaring up, these toxic chemicals are still going to affect your body.",en,511,and this is the only platform | you can honestly go read it | onthewebsite | basedonresearch,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002879,USER00002619,VIDEO00003885,11.35,7.416666666666667,24.0,576,1024,0.5625,178,1581251,True,minusiosin y,es,12,different type of hurt once | you're singing this live | different type of hurt once | you're singing this live | different type of hurt once | you're singing this live | different type of hurt once | you're singing this live,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00000520,USER00004178,VIDEO00001349,5.51,17.5,30.0,576,1024,0.5625,525,3416062,True,I got my head out this song room I'm passing a fake juice I only got one thing on my mind You got me still going,en,112,TATTOO,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00001888,USER00000902,VIDEO00002805,9.59,95.75,59.98955613577024,576,1024,0.5625,5744,16316374,True,"So I've been losing hair for the last three to five years and it is slowly taking a toll on me and ruining my quality of life. I've tried the ordinary serum and multiple shampoos but now I thought I'd try rosemary water because it's all over my damp bead. Now as I mentioned I have used ordinary, I have used shampoos and supplements and whatnot and I can't say for sure whether they work or not because I did not use them every day because I was too lazy and I hate taking supplements. And I'm really bad at putting oils in my hair because it makes it so oily.",en,561,Re | paint the | shampoo | Conals | paint an | again,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,True
POST00002298,USER00001698,VIDEO00003254,11.64,6.266666666666667,30.0,576,1024,0.5625,188,587143,True,Final Covering,en,14,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
