pid,ocr_text,ocr_raw_text_count
POST00003480,+ Glowy Glazed Skin | your skin will look so | freaking good | helpsthe product | absorbed by490%,97
POST00000014,Versed Resurfacing Mask | JTikTok | Salicylic acid | Lactic acid | Glycolic acid | Pineapple | TikTok | Leave on for | 2-3 minutes | JTikTok | DermDoctor | Approved | JTikTok,174
POST00001861,,0
POST00003570,dr.pear_ | drpear_ | 98% | recyced bollo | Eucerin | OIL CONTROL | CLFANSING GEL,80
POST00000779,"4 things that helped me get | glass skin | 4 things that helped me get | glass skin | ZO'SKIN HEALTH | BYZEINOBAGIMD | Antioxidant | serums | ILLUMINATING | AOXSERUM | Serum | lumooteurAOx | SKINCEUTICALS | SmL/1.7Fl0zUS | C E FERULICO | CONTAINING | 15%LASCORBICACID, | 1SALPHATOCOPHEROL | AND0.5%FERULICACID | PREVENT | 30ml/1floz | SPF | al-Oily | RESIST | PAULA'S | Vitamin E | CHOICE | Vitalizing Sunscreen | Tocopherol | SPF50sunereencotareVaE | andhest(Agirgsigs)eangou | skinheathyandmoisturzed. | Youth-Extending | 50 mL/1.69 fl.oz. | Daily Hydrating | Fluid | BroadSpectrumSPF50 | WITHANTIOXIDANTS+ | COSRX | /2fl.oz.",627
POST00003722,"ifyou use a cleanser, | hydrate your skin | ITANINS | dermalogica | REEN | VITAMINS | SP | YOUTHEPEOR",101
POST00002934,"hello diabetes | hello diabetes | TOBLERON | hello diabetes | MILK | ANDDRY | MOND | NDS | MS1500 | Net Weight/Berat Bersih:160g | 1092-06/2004 | MONDS | have a | eabreak,ha | avea breal | 100g | hello diabetes | Bwry | IRYMILK | STALMOND | LANDDRY | ITNROASTEDALMONDS | PUANSADAN | NeWeigh/Bert Bersil6g | 76 | WAFER ROLL | veabreak.havea | laveabreak,have | ETWT.:100g",370
POST00003007,"Alovely customer | mentioned that I charge | double the price | compared to other big | international websites | Reply to Eman's comment | Rahto meit'snot | logical ghir 7it aproduct | is not availablef mghrib | njinkhlselihalmost | double the original price | wakha tgulia hia na9sa | 3la | ON | GREENTEA | Most of the large | NSINGFOAM | websitesareestablished | inSouthKoreaitself. | They have direct | partnerships with the | skincare brands and can | acquire productsata | lowercostssotheyoffer | competitive prices | RICEWATERBRICHT | RCANNGCEANSEN | ESRUMA | PACORA | By supporting me, you're | not only getting amazing | korean products but also | helpingasmallbusiness | thrive intheprocess.I | really appreciate that | eckang Yul | Essence Toner | 200ml6.8F.0z. | ++StayGlowya++ | ACAIBERRY | NATURALACAIBERRYMASKSHEET",828
POST00002743,Things you DONT NEED | As A Beginner Nail Tech!! | VBJO | 3. Use a size 10 acrylic | brush font use size 12 or | 14 it's very big in the | beginning! | 4. You knew this...,171
POST00003072,Do my nails with me as a | 13yo beginner nail tech | MiaSeerci | TikTOK | 2@boniranailizz | TikTok | @bonita_nailzzz | TikTok | @bonita_nailzzz,143
POST00003211,,0
POST00002289,米佳养生 | 米佳盈 | don't open. | your eyes | the most popular | treatment here?,73
POST00002896,Rock sugar kiwifruit,20
POST00001204,,0
POST00001007,Relax with us,13
